,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
567,Russia,Penza Oblast,53.1655415,44.7879181,100787,4587,0,1640596874000.0
568,Russia,Perm Krai,58.5951603,56.3159546,158272,7388,0,1640596874000.0
569,Russia,Primorsky Krai,45.0819456,134.726645,100322,1529,0,1640596874000.0
570,Russia,Pskov Oblast,57.5358729,28.8586826,70672,1239,0,1640596874000.0
571,Russia,Rostov Oblast,47.6222451,40.7957942,192156,9508,0,1640596874000.0
572,Russia,Ryazan Oblast,54.4226732,40.5705246,60948,2454,0,1640596874000.0
573,Russia,Saint Petersburg,59.9606739,30.1586551,845519,27805,0,1640596874000.0
574,Russia,Sakha (Yakutiya) Republic,66.941626,129.642371,75651,1775,0,1640596874000.0
575,Russia,Sakhalin Oblast,49.7219665,143.448533,41655,516,0,1640596874000.0
576,Russia,Samara Oblast,53.2128813,50.8914633,198389,6200,0,1640596874000.0
577,Russia,Saratov Oblast,51.6520555,46.8631952,131858,4999,0,1640596874000.0
578,Russia,Smolensk Oblast,55.0343496,33.0192065,84283,2338,0,1640596874000.0
579,Russia,Stavropol Krai,44.8632577,43.4406913,124733,5998,0,1640596874000.0
580,Russia,Sverdlovsk Oblast,58.6414755,61.8021546,196517,9298,0,1640596874000.0
581,Russia,Tambov Oblast,52.9019574,41.3578918,60300,1674,0,1640596874000.0
582,Russia,Tatarstan Republic,55.7648572,52.43104273,42360,1416,0,1640596874000.0
583,Russia,Tomsk Oblast,58.6124279,82.0475315,61246,669,0,1640596874000.0
584,Russia,Tula Oblast,53.9570701,37.3690909,74295,4207,0,1640596874000.0
585,Russia,Tver Oblast,57.1134475,35.1744428,97618,2314,0,1640596874000.0
586,Russia,Tyumen Oblast,58.8206488,70.3658837,89005,3328,0,1640596874000.0
587,Russia,Tyva Republic,51.4017149,93.8582593,31504,317,0,1640596874000.0
588,Russia,Udmurt Republic,57.1961165,52.6959832,78752,3220,0,1640596874000.0
589,Russia,Ulyanovsk Oblast,54.1463177,47.2324921,119688,3722,0,1640596874000.0
590,Russia,Vladimir Oblast,56.0503336,40.6561633,80310,2910,0,1640596874000.0
591,Russia,Volgograd Oblast,49.6048339,44.2903582,128104,5453,0,1640596874000.0
592,Russia,Vologda Oblast,60.0391461,43.1215213,99149,2924,0,1640596874000.0
