Country,Confirmed,Deaths,Hosp_patients,Vaccinations,Vaccinated_Once,Vaccinated_Full,Vaccinated_Booster,Date
United Kingdom,1907.0,7.0,1287.0,515479.0,34505380.0,15329617.0,0.0,01_05_2021
United Kingdom,2381.0,15.0,1366.0,567374.0,34362205.0,14957313.0,0.0,30_04_2021
United Kingdom,2445.0,22.0,1464.0,614135.0,34216616.0,14535528.0,0.0,29_04_2021
United Kingdom,2110.0,29.0,1515.0,597025.0,34094048.0,14043961.0,0.0,28_04_2021
United Kingdom,2685.0,17.0,1572.0,495593.0,33959908.0,13581076.0,0.0,27_04_2021
United Kingdom,2064.0,6.0,1649.0,395383.0,33843580.0,13201811.0,0.0,26_04_2021
United Kingdom,1712.0,11.0,1626.0,340496.0,33752885.0,12897123.0,0.0,25_04_2021
United Kingdom,2061.0,32.0,1673.0,696403.0,33673190.0,12636322.0,0.0,24_04_2021
United Kingdom,2734.0,40.0,1749.0,600801.0,33524423.0,12088686.0,0.0,23_04_2021
United Kingdom,2728.0,18.0,1791.0,562056.0,33388637.0,11623671.0,0.0,22_04_2021
United Kingdom,2398.0,20.0,1893.0,534693.0,33257651.0,11192601.0,0.0,21_04_2021
United Kingdom,2524.0,33.0,1926.0,457649.0,33139742.0,10775817.0,0.0,20_04_2021
United Kingdom,2963.0,4.0,2007.0,373423.0,33032120.0,10425790.0,0.0,19_04_2021
United Kingdom,1882.0,10.0,1983.0,304418.0,32932448.0,10152039.0,0.0,18_04_2021
United Kingdom,2206.0,35.0,2035.0,639080.0,32849223.0,9930846.0,0.0,17_04_2021
United Kingdom,2756.0,34.0,2140.0,635221.0,32709778.0,9431211.0,0.0,16_04_2021
United Kingdom,2671.0,30.0,2195.0,547465.0,32574221.0,8931547.0,0.0,15_04_2021
United Kingdom,2491.0,38.0,2295.0,461618.0,32444439.0,8513864.0,0.0,14_04_2021
United Kingdom,2473.0,23.0,2409.0,388808.0,32326604.0,8170081.0,0.0,13_04_2021
United Kingdom,3568.0,13.0,2493.0,261096.0,32250481.0,7857396.0,0.0,12_04_2021
United Kingdom,1730.0,7.0,2550.0,258888.0,32190576.0,7656205.0,0.0,11_04_2021
United Kingdom,2584.0,40.0,2651.0,586339.0,32121353.0,7466540.0,0.0,10_04_2021
United Kingdom,-4860.0,60.0,2793.0,557014.0,32010244.0,6991310.0,0.0,09_04_2021
United Kingdom,3030.0,53.0,2872.0,545511.0,31903366.0,6541174.0,0.0,08_04_2021
United Kingdom,2762.0,45.0,3019.0,507926.0,31807124.0,6091905.0,0.0,07_04_2021
United Kingdom,2380.0,20.0,3143.0,272020.0,31707594.0,5683509.0,0.0,06_04_2021
